Designator,Mid X,Mid Y,Layer,Rotation
"R1",119.180000,-87.810000,top,0.000000
"R2",119.180000,-89.780000,top,0.000000
"R3",119.180000,-91.750000,top,0.000000
"R4",119.180000,-93.720000,top,0.000000
"R5",119.180000,-95.690000,top,0.000000
"R6",119.180000,-97.660000,top,0.000000
"R7",119.180000,-99.630000,top,0.000000
"R8",119.180000,-101.600000,top,0.000000
"R9",98.500000,-88.300000,top,0.000000
"R10",98.500000,-91.250000,top,0.000000
"R11",98.500000,-94.200000,top,0.000000
"R12",98.500000,-97.150000,top,0.000000
"R13",98.500000,-100.100000,top,0.000000
"R14",98.500000,-103.050000,top,0.000000
"R15",98.500000,-106.000000,top,0.000000
"R16",103.250000,-88.300000,top,0.000000
"R17",103.250000,-91.250000,top,0.000000
"R18",103.250000,-94.200000,top,0.000000
"R19",103.250000,-97.150000,top,0.000000
"R20",103.250000,-100.100000,top,0.000000
"R21",103.250000,-103.050000,top,0.000000
"R23",103.250000,-106.000000,top,0.000000
"R24",108.000000,-88.300000,top,0.000000
"R25",108.000000,-91.250000,top,0.000000
"R26",108.000000,-94.200000,top,0.000000
"R27",108.000000,-97.150000,top,0.000000
"R28",108.000000,-100.100000,top,0.000000
"R29",108.000000,-103.050000,top,0.000000
"R30",108.000000,-106.000000,top,0.000000
