Designator,Mid X,Mid Y,Rotation,Layer
D10,116.25,-82.5,0.0,bottom
D11,116.25,-86.5,0.0,bottom
D4,116.25,-58.5,0.0,bottom
D5,116.25,-62.5,0.0,bottom
D6,116.25,-66.5,0.0,bottom
D7,116.25,-70.5,0.0,bottom
D8,116.25,-74.5,0.0,bottom
D9,116.25,-78.5,0.0,bottom
R1,120.0963,-58.43,0.0,bottom
R10,74.16,-81.06,270.0,bottom
R11,70.16,-81.06,270.0,bottom
R12,66.16,-81.06,270.0,bottom
R13,62.16,-81.06,270.0,bottom
R14,58.16,-81.06,270.0,bottom
R15,54.16,-81.06,270.0,bottom
R16,105.5,-81.0,90.0,bottom
R17,101.5,-81.0,90.0,bottom
R18,97.5,-81.0,90.0,bottom
R19,93.5,-81.0,90.0,bottom
R2,120.0963,-62.43,0.0,bottom
R20,89.5,-81.0,90.0,bottom
R21,85.5,-81.0,90.0,bottom
R22,81.5,-81.0,90.0,bottom
R23,105.39,-92.0,270.0,bottom
R24,101.39,-92.0,270.0,bottom
R25,97.39,-92.0,270.0,bottom
R26,93.39,-92.0,270.0,bottom
R27,89.39,-92.0,270.0,bottom
R28,85.39,-92.0,270.0,bottom
R29,81.39,-92.0,270.0,bottom
R3,120.0963,-66.43,0.0,bottom
R4,120.0963,-70.43,0.0,bottom
R5,120.0963,-74.43,0.0,bottom
R6,120.0963,-78.43,0.0,bottom
R7,120.0963,-82.43,0.0,bottom
R8,120.0963,-86.43,0.0,bottom
R9,78.16,-81.06,270.0,bottom
