Designator,Mid X,Mid Y,Rotation,Layer
J1,52.01,-24.77,90.0,top
J10,43.5,-32.5,0.0,top
J11,42.5,-77.1,0.0,top
J12,118.2,-80.1,0.0,top
J13,118.2,-29.7,0.0,top
J14,77.6,-32.8,0.0,top
J2,102.5,-42.89,180.0,top
J3,52.19,-85.23,90.0,top
J4,102.5,-67.47,0.0,top
J5,73.1,-32.8,0.0,top
J6,39.5,-32.5,0.0,top
J7,38.5,-77.0,0.0,top
J8,113.5,-30.9,0.0,top
J9,113.7,-79.4,0.0,top
SW1,41.0,-45.2,0.0,top
SW10,48.0,-64.9,0.0,top
SW11,55.0,-64.9,0.0,top
SW12,62.0,-64.9,0.0,top
SW13,69.0,-64.9,0.0,top
SW14,76.0,-64.9,0.0,top
SW15,83.0,-64.9,0.0,top
SW16,90.0,-64.9,0.0,top
SW2,48.0,-45.2,0.0,top
SW3,55.0,-45.2,0.0,top
SW4,62.0,-45.2,0.0,top
SW5,69.0,-45.2,0.0,top
SW6,76.0,-45.2,0.0,top
SW7,83.0,-45.2,0.0,top
SW8,90.0,-45.2,0.0,top
SW9,41.0,-64.9,0.0,top
